Size,ArrayType,Algorithm,TimeUs,Comparisons
500,Prefixed,MSD_Hybrid,262.892,3500
600,Random,Std_QuickSort,424.758,7771
600,Random,Std_MergeSort,596.283,6133
600,Random,Ternary_QS,230.492,5859
600,Random,LCP_MergeSort,585.483,4368
600,Random,MSD_Radix,236.333,1259
600,Random,MSD_Hybrid,166.8,1978
600,Reversed,Std_QuickSort,314.25,7229
600,Reversed,Std_MergeSort,434.541,4440
600,Reversed,Ternary_QS,150.333,4505
600,Reversed,LCP_MergeSort,452.583,2192
600,Reversed,MSD_Radix,278.333,1447
600,Reversed,MSD_Hybrid,149.8,2805
600,NearlySorted,Std_QuickSort,317.383,7243
600,NearlySorted,Std_MergeSort,524.058,6243
600,NearlySorted,Ternary_QS,181.625,4612
600,NearlySorted,LCP_MergeSort,458.992,2476
600,NearlySorted,MSD_Radix,274.984,1452
600,NearlySorted,MSD_Hybrid,147.442,2822
600,Prefixed,Std_QuickSort,2281.33,170791
600,Prefixed,Std_MergeSort,2041.98,135805
600,Prefixed,Ternary_QS,376.1,20978
600,Prefixed,LCP_MergeSort,814.633,20549
600,Prefixed,MSD_Radix,317.508,4200
600,Prefixed,MSD_Hybrid,319.108,4200
700,Random,Std_QuickSort,506.783,9314
700,Random,Std_MergeSort,725.941,7436
700,Random,Ternary_QS,261.5,7345
700,Random,LCP_MergeSort,712.75,5238
700,Random,MSD_Radix,267.425,1481
700,Random,MSD_Hybrid,164.125,2395
700,Reversed,Std_QuickSort,398.675,8841
700,Reversed,Std_MergeSort,523.275,5317
700,Reversed,Ternary_QS,186.483,5416
700,Reversed,LCP_MergeSort,560.15,2601
700,Reversed,MSD_Radix,321.642,1693
700,Reversed,MSD_Hybrid,177.017,3263
700,NearlySorted,Std_QuickSort,392.117,8670
700,NearlySorted,Std_MergeSort,626.85,7402
700,NearlySorted,Ternary_QS,192.284,5509
700,NearlySorted,LCP_MergeSort,568.783,2912
700,NearlySorted,MSD_Radix,332.175,1703
700,NearlySorted,MSD_Hybrid,180.067,3327
700,Prefixed,Std_QuickSort,2677.97,201273
700,Prefixed,Std_MergeSort,2480.7,162708
700,Prefixed,Ternary_QS,416.058,24760
