Size,ArrayType,Algorithm,TimeUs,Comparisons
2400,Prefixed,Ternary_QS,1670.67,90106
2400,Prefixed,LCP_MergeSort,3743.28,86538
2400,Prefixed,MSD_Radix,1267.53,16800
2400,Prefixed,MSD_Hybrid,1270.44,16800
2500,Random,Std_QuickSort,2500.28,47933
2500,Random,Std_MergeSort,3206.16,35772
2500,Random,Ternary_QS,1082.48,27413
2500,Random,LCP_MergeSort,3133.45,22705
2500,Random,MSD_Radix,1097.87,5903
2500,Random,MSD_Hybrid,727.233,13605
2500,Reversed,Std_QuickSort,1694.86,35629
2500,Reversed,Std_MergeSort,2324.83,20956
2500,Reversed,Ternary_QS,847.575,23429
2500,Reversed,LCP_MergeSort,2208.75,9069
2500,Reversed,MSD_Radix,1174.69,6046
2500,Reversed,MSD_Hybrid,632.217,11759
2500,NearlySorted,Std_QuickSort,1848.37,39560
2500,NearlySorted,Std_MergeSort,2733.97,31286
2500,NearlySorted,Ternary_QS,826.725,23268
2500,NearlySorted,LCP_MergeSort,2406.71,11333
2500,NearlySorted,MSD_Radix,1212.61,6079
2500,NearlySorted,MSD_Hybrid,661.258,12095
2500,Prefixed,Std_QuickSort,13296.8,990577
2500,Prefixed,Std_MergeSort,11126.7,712914
2500,Prefixed,Ternary_QS,1867.18,93825
2500,Prefixed,LCP_MergeSort,3982.55,90118
2500,Prefixed,MSD_Radix,1384.48,17500
2500,Prefixed,MSD_Hybrid,1361.9,17500
2600,Random,Std_QuickSort,2198.17,43204
2600,Random,Std_MergeSort,3308.23,37528
2600,Random,Ternary_QS,1067.89,27658
2600,Random,LCP_MergeSort,3311.11,23783
2600,Random,MSD_Radix,1166.94,6165
2600,Random,MSD_Hybrid,775.983,14366
2600,Reversed,Std_QuickSort,1827.45,37595
2600,Reversed,Std_MergeSort,2430.09,21996
2600,Reversed,Ternary_QS,897.025,24562
2600,Reversed,LCP_MergeSort,2440.58,9575
2600,Reversed,MSD_Radix,1242.21,6266
2600,Reversed,MSD_Hybrid,711.958,12197
2600,NearlySorted,Std_QuickSort,1954.42,41235
2600,NearlySorted,Std_MergeSort,2953.07,32792
2600,NearlySorted,Ternary_QS,894.6,24600
2600,NearlySorted,LCP_MergeSort,2566.96,11921
2600,NearlySorted,MSD_Radix,1302.23,6324
2600,NearlySorted,MSD_Hybrid,712.283,12583
2600,Prefixed,Std_QuickSort,12974.8,925341
2600,Prefixed,Std_MergeSort,12006,745432
2600,Prefixed,Ternary_QS,2042.58,102346
2600,Prefixed,LCP_MergeSort,4311.31,94000
2600,Prefixed,MSD_Radix,1424.23,18200
2600,Prefixed,MSD_Hybrid,1418.47,18200
2700,Random,Std_QuickSort,2455.24,46238
2700,Random,Std_MergeSort,3622.98,39239
2700,Random,Ternary_QS,1191.83,29982
2700,Random,LCP_MergeSort,3576.02,24777
2700,Random,MSD_Radix,1253.38,6425
2700,Random,MSD_Hybrid,839.008,14932
2700,Reversed,Std_QuickSort,1915.67,39312
2700,Reversed,Std_MergeSort,2610.74,22519
2700,Reversed,Ternary_QS,934.992,25602
2700,Reversed,LCP_MergeSort,2509.62,9660
2700,Reversed,MSD_Radix,1290.06,6505
2700,Reversed,MSD_Hybrid,738.008,12673
2700,NearlySorted,Std_QuickSort,2065.94,43004
2700,NearlySorted,Std_MergeSort,3007.57,33568
2700,NearlySorted,Ternary_QS,934.958,25567
2700,NearlySorted,LCP_MergeSort,2673.31,12302
2700,NearlySorted,MSD_Radix,1321.13,6564
2700,NearlySorted,MSD_Hybrid,731.617,13076
2700,Prefixed,Std_QuickSort,14103,1008544
2700,Prefixed,Std_MergeSort,12223.6,778413
2700,Prefixed,Ternary_QS,1887.59,102472
2700,Prefixed,LCP_MergeSort,4324.92,97647
2700,Prefixed,MSD_Radix,1422.75,18900
2700,Prefixed,MSD_Hybrid,1425.18,18900
2800,Random,Std_QuickSort,2527.29,49614
2800,Random,Std_MergeSort,3583.78,41038
2800,Random,Ternary_QS,1227.48,32057
2800,Random,LCP_MergeSort,3591.71,25869
2800,Random,MSD_Radix,1285.44,6703
2800,Random,MSD_Hybrid,822.867,15050
2800,Reversed,Std_QuickSort,1925.72,40769
2800,Reversed,Std_MergeSort,2641.56,23932
2800,Reversed,Ternary_QS,933.708,26469
2800,Reversed,LCP_MergeSort,2570.77,10415
2800,Reversed,MSD_Radix,1325.27,6753
2800,Reversed,MSD_Hybrid,749.108,13157
2800,NearlySorted,Std_QuickSort,2101.69,45204
2800,NearlySorted,Std_MergeSort,3093.56,35408
2800,NearlySorted,Ternary_QS,955.459,26435
2800,NearlySorted,LCP_MergeSort,2711.56,12986
2800,NearlySorted,MSD_Radix,1360.73,6808
2800,NearlySorted,MSD_Hybrid,747.967,13590
2800,Prefixed,Std_QuickSort,13727.6,1009540
2800,Prefixed,Std_MergeSort,12736.2,811758
2800,Prefixed,Ternary_QS,2024.79,105257
2800,Prefixed,LCP_MergeSort,4478.99,101464
2800,Prefixed,MSD_Radix,1495.43,19600
2800,Prefixed,MSD_Hybrid,1492.87,19600
2900,Random,Std_QuickSort,2620.74,50712
2900,Random,Std_MergeSort,3797.12,42803
2900,Random,Ternary_QS,1331.53,34658
2900,Random,LCP_MergeSort,3737.82,26909
2900,Random,MSD_Radix,1361.02,6987
2900,Random,MSD_Hybrid,866.45,16040
2900,Reversed,Std_QuickSort,2666.85,42419
2900,Reversed,Std_MergeSort,4914.98,24667
2900,Reversed,Ternary_QS,1543.87,27594
2900,Reversed,LCP_MergeSort,3202.57,10615
2900,Reversed,MSD_Radix,1369.92,7000
2900,Reversed,MSD_Hybrid,768.767,13626
2900,NearlySorted,Std_QuickSort,2203.32,47082
2900,NearlySorted,Std_MergeSort,3197.54,36423
2900,NearlySorted,Ternary_QS,994.425,27899
2900,NearlySorted,LCP_MergeSort,2809.46,13311
2900,NearlySorted,MSD_Radix,1397.62,7047
2900,NearlySorted,MSD_Hybrid,767.042,14057
2900,Prefixed,Std_QuickSort,14809.9,1088862
2900,Prefixed,Std_MergeSort,13269.4,844605
2900,Prefixed,Ternary_QS,2197.07,111405
2900,Prefixed,LCP_MergeSort,4689.03,105181
2900,Prefixed,MSD_Radix,1555.37,20300
2900,Prefixed,MSD_Hybrid,1540.95,20300
3000,Random,Std_QuickSort,2683.97,52445
3000,Random,Std_MergeSort,3890.88,44567
3000,Random,Ternary_QS,1340.52,34846
3000,Random,LCP_MergeSort,3910.19,27941
3000,Random,MSD_Radix,1409.55,7263
3000,Random,MSD_Hybrid,917.875,16959
3000,Reversed,Std_QuickSort,2061.52,43994
3000,Reversed,Std_MergeSort,2821.97,25731
3000,Reversed,Ternary_QS,985.95,28839
3000,Reversed,LCP_MergeSort,2714.77,11043
3000,Reversed,MSD_Radix,1405.24,7236
3000,Reversed,MSD_Hybrid,794.825,14122
3000,NearlySorted,Std_QuickSort,2291.72,49911
3000,NearlySorted,Std_MergeSort,3291.12,37658
3000,NearlySorted,Ternary_QS,1051.69,29402
3000,NearlySorted,LCP_MergeSort,2941.3,13831
3000,NearlySorted,MSD_Radix,1448.55,7288
3000,NearlySorted,MSD_Hybrid,806.8,14569
3000,Prefixed,Std_QuickSort,15654,1161111
3000,Prefixed,Std_MergeSort,13789.7,877182
3000,Prefixed,Ternary_QS,2221.56,113926
3000,Prefixed,LCP_MergeSort,4880.34,108982
3000,Prefixed,MSD_Radix,1603.72,21000
3000,Prefixed,MSD_Hybrid,1597.87,21000
